User,Public,,,,,,,,,,,,
Protocol name,New FL Protocol,,,,,,,,,,,,
Time of export,02/12/2025 22:43:31,,,,,,,,,,,,
Time of last change,02/12/2025 22:22:35,,,,,,,,,,,,
Time of last use (end time),02/12/2025 22:24:49,,,,,,,,,,,,
Software version,1.2.0.0,,,,,,,,,,,,
Instrument name,iD3-2585,,,,,,,,,,,,
Serial number,2585,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment (1 of 1),,,,,,,,,,,,,
Experiment name,Experiment 1,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate  (1 of 1),,,,,,,,,,,,,
Plate name,Plate 1,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,
Microplate name,Standard clrbtm,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,
Is lidded,False,,,,,,,,,,,,
Read Time,02/12/2025 22:22:48,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,
,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,
Excitation/Emission,365 nm/450 nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,
Bottom read,False,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,
,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,
Wavelength(Ex/Em),365 nm/450 nm,1,2,3,4,5,6,7,8,9,10,11,12
,A,50850384,16957346,18113892,15786454,16348967,17490536,16594502,16331176,16114354,,,
,B,51810152,14902695,16497338,14508677,15455502,16476977,14243171,16130983,15971091,,,
,C,48448364,15479835,15789094,14585021,15699392,16801032,15319051,16211808,16470530,,,
,D,58256092,21656884,11344314,2254412,478736,237164,237727,237440,234319,,,
,E,52207024,23089170,10336461,2216487,480545,236098,237780,237278,237196,,,
,F,50934196,21919738,10750101,2341206,484508,238436,238188,238629,236346,,,
,G,,,,,,,,,,,,
,H,,,,,,,,,,,,